shop_id,price_change_count,avg_day_between_changes,manufacturer_count,avg_profit_pct,profit_pct_std,product_count,avg_delay_score,exact_overlap_ratio,avg_profit_similarity,label_binary,label_group
1,115,1.0,1,7.046249999999999,2.9386252631970615,20,0.0,115.0,0.9552879481774265,0,-1
10,115,1.0,1,6.5057898550724635,6.49756425037284,20,0.0,115.0,0.9366421493192798,1,9
100,115,1.0,1,7.045666666666667,2.979645597867117,20,0.0,115.0,0.9547151497584541,0,-1
11,115,1.0,1,7.44048695652174,6.222711051309608,20,0.0,115.0,0.9294339068950372,1,7
12,115,1.0,1,7.18555652173913,6.621346795474145,20,0.0,115.0,0.9289706034255599,1,1
13,115,1.0,1,6.8211666666666675,2.7727688277644464,20,0.0,115.0,0.9540130408432147,0,-1
14,115,1.0,1,5.536499999999999,3.1442229167156706,20,0.0,115.0,0.9510975274483972,0,-1
15,115,1.0,1,8.279696739130435,5.893487269988042,20,0.0,115.0,0.9347619727711902,1,7
16,115,1.0,1,7.214499999999999,3.2037719566161384,20,0.0,115.0,0.950185473869126,0,-1
17,115,1.0,1,7.3551666666666655,3.2473088815544204,20,0.0,115.0,0.9526248221343873,0,-1
18,115,1.0,1,6.958309782608695,6.221960427958234,20,0.0,115.0,0.9331272894158982,1,2
19,115,1.0,1,6.61999420289855,6.114010365839231,20,0.0,115.0,0.9289185955204216,1,6
2,115,1.0,1,6.355014492753623,6.746292148537087,20,0.0,115.0,0.9324503891084762,1,3
20,115,1.0,1,6.9715,2.6692813171338834,20,0.0,115.0,0.9561858743961353,0,-1
21,115,1.0,1,6.174963768115942,5.905268128150822,20,0.0,115.0,0.9314824339042601,1,12
22,115,1.0,1,6.278166666666667,2.971816218895255,20,0.0,115.0,0.9543638664909968,0,-1
23,115,1.0,1,7.506104347826087,6.929405498527602,20,0.0,115.0,0.9340050513833993,1,4
24,115,1.0,1,6.5408333333333335,2.8417068178981606,20,0.0,115.0,0.9528633078612208,0,-1
25,115,1.0,1,6.965,2.9726150103906828,20,0.0,115.0,0.9542322749231446,0,-1
26,115,1.0,1,7.1962637681159425,6.82973490350581,20,0.0,115.0,0.9333254343434345,1,7
27,115,1.0,1,6.26225,3.0718150070438814,20,0.0,115.0,0.9530549143610011,0,-1
28,115,1.0,1,6.697,2.9576839475057732,20,0.0,115.0,0.9505480974967062,0,-1
29,115,1.0,1,8.464007246376811,5.731263963833449,20,0.0,115.0,0.9326058981115505,1,9
3,115,1.0,1,6.690166666666667,2.94540234470984,20,0.0,115.0,0.9544854097496707,0,-1
30,115,1.0,1,6.624249999999999,6.641708044008546,20,0.0,115.0,0.9413180957400088,1,10
31,115,1.0,1,7.47225,3.0682767863248586,20,0.0,115.0,0.9546539341238472,0,-1
32,115,1.0,1,6.56425,2.845266145284128,20,0.0,115.0,0.9545120518225737,0,-1
33,115,1.0,1,7.946421739130435,6.466841412020482,20,0.0,115.0,0.9350888844971453,1,8
34,115,1.0,1,6.589244565217391,6.018056573217696,20,0.0,115.0,0.9345811910408431,1,3
35,115,1.0,1,7.36824456521739,6.761243551603573,20,0.0,115.0,0.9310275625823452,1,10
36,115,1.0,1,7.462666666666667,2.7481865940207837,20,0.0,115.0,0.9537372042160738,0,-1
37,115,1.0,1,6.78575,3.0076326965738356,20,0.0,115.0,0.9512908133509002,0,-1
38,115,1.0,1,6.351333333333333,3.2571129683953073,20,0.0,115.0,0.955093325428195,0,-1
39,115,1.0,1,6.902333333333333,2.88942056859541,20,0.0,115.0,0.9539520588493633,0,-1
4,115,1.0,1,6.83075,3.265946560723246,20,0.0,115.0,0.9540411805006588,0,-1
40,115,1.0,1,6.63846847826087,6.370270379567025,20,0.0,115.0,0.9310071743522179,1,4
41,115,1.0,1,5.761384057971015,6.751302486061232,20,0.0,115.0,0.935539191919192,1,2
42,115,1.0,1,7.167282608695652,6.375626615966409,20,0.0,115.0,0.9374080904699167,1,2
43,115,1.0,1,6.965166666666666,2.440656668239559,20,0.0,115.0,0.9561349275362319,0,-1
44,115,1.0,1,7.3929402173913035,6.198288964172496,20,0.0,115.0,0.9356380922266138,1,2
45,115,1.0,1,6.274298913043479,6.3503932134159085,20,0.0,115.0,0.9347405744400527,1,11
46,115,1.0,1,7.131065217391303,5.907200588506212,20,0.0,115.0,0.9339054185331576,1,12
47,115,1.0,1,6.829385869565217,6.480880308144565,20,0.0,115.0,0.9386720386473429,1,1
48,115,1.0,1,5.592344565217391,6.509872253202357,20,0.0,115.0,0.9331905507246377,1,7
