shop_id_1,shop_id_2,delay_score,overlap_score,profit_similarity
1,10,0.0,115.0,0.9509457626887446
1,100,0.0,115.0,0.9286950303640573
1,101,0.0,115.0,0.9575008509693786
1,102,0.0,115.0,0.9560302811907708
1,103,0.0,115.0,0.9471927161965075
1,104,0.0,115.0,0.9496038875970473
1,105,0.0,115.0,0.9449584211365744
1,107,0.0,115.0,0.9464054876990848
1,106,0.0,115.0,0.9391564669952702
1,108,0.0,115.0,0.9501355495196755
1,109,0.0,115.0,0.9354024297721489
1,11,0.0,115.0,0.9618974638216333
1,110,0.0,115.0,0.9418703673256048
1,113,0.0,115.0,0.9470362521295419
1,112,0.0,115.0,0.949286342253438
1,114,0.0,115.0,0.9398022852422286
1,111,0.0,115.0,0.9236323944648288
1,115,0.0,115.0,0.9637530461097659
1,116,0.0,115.0,0.9451625653018846
1,117,0.0,115.0,0.9474378151909799
1,12,0.0,115.0,0.9452048796652527
1,118,0.0,115.0,0.9356483312651112
1,119,0.0,115.0,0.936118227429165
1,120,0.0,115.0,0.9457620697580014
1,122,0.0,115.0,0.9276911428766115
1,121,0.0,115.0,0.9499603754716854
1,123,0.0,115.0,0.9546529969860404
1,124,0.0,115.0,0.9557774659000909
1,126,0.0,115.0,0.9635083330815001
1,127,0.0,115.0,0.9471337712034407
1,125,0.0,115.0,0.9498854380415945
1,13,0.0,115.0,0.9417695469583806
1,128,0.0,115.0,0.944676209149702
1,129,0.0,115.0,0.9219104084418872
1,130,0.0,115.0,0.9646600057219833
1,131,0.0,115.0,0.9573703233145872
1,133,0.0,115.0,0.947967502711877
1,132,0.0,115.0,0.9364685778605181
1,135,0.0,115.0,0.9477262724119312
1,134,0.0,115.0,0.9326918947455258
1,136,0.0,115.0,0.9373966071230352
1,138,0.0,115.0,0.9311496199643714
1,137,0.0,115.0,0.960097957613696
1,140,0.0,115.0,0.9409042217337091
1,139,0.0,115.0,0.9525546434518409
1,14,0.0,115.0,0.9407337346116968
1,141,0.0,115.0,0.9488954464407356
1,142,0.0,115.0,0.9437867456571535
